function	reference_line	candidate_line	adjudication_class
02044_sub_8132fc.dartpseudo	reg3.f24 = signExtend((signExtend(signExtend(reg3.f24, 32), 32) | reg5.f8), 32);	reg3.f24 = reg5;	expression_replaced_by_the_register_holding_it
02044_sub_8132fc.dartpseudo	reg3.f24 = signExtend((signExtend(signExtend(reg3.f24, 32), 32) | reg5.f8), 32);	reg3.f24 = reg5;	expression_replaced_by_the_register_holding_it
02044_sub_8132fc.dartpseudo	reg3.f24 = signExtend((signExtend(signExtend(reg3.f24, 32), 32) | reg5.f8), 32);	reg3.f24 = reg5;	expression_replaced_by_the_register_holding_it
02044_sub_8132fc.dartpseudo	reg3.f24 = signExtend((signExtend(signExtend(reg3.f24, 32), 32) | reg5.f8), 32);	reg3.f24 = reg5;	expression_replaced_by_the_register_holding_it
02044_sub_8132fc.dartpseudo	reg3.f24 = signExtend((signExtend(signExtend(reg3.f24, 32), 32) | reg5.f8), 32);	reg3.f24 = reg5;	expression_replaced_by_the_register_holding_it
02099_sub_81d110.dartpseudo	if ((classId(reg0) + -0x1506) > 1) {	if ((classId(slot1) + -0x1506) > 1) {	register_named_as_parameter_slot
02099_sub_81d110.dartpseudo	final t38 = sub_69c4a8(reg0);	final t39 = sub_69c4a8(slot1, slot0, slot2, slot2);	register_named_as_parameter_slot
02204_sub_82dca4.dartpseudo	if ((reg6 - reg4) >= reg5) {	if ((slot4 - reg4) >= slot3) {	register_named_as_parameter_slot
02508_sub_882908.dartpseudo	if (((((reg4.f28 & 0xffffffff) & 0xf0) & 0xffffffff) | reg0) >= 0xd0) {	if (reg3 >= 0xd0) {	expression_replaced_by_the_register_holding_it
03047_sub_91ccf8.dartpseudo	((reg2 + reg7)).f24 = ((reg6 + ((((((reg3 + reg8)).f24 & 0xffffffff) >>> 4) & reg5) & 0xffffffff))).f16;	((reg2 + reg7)).f24 = ((reg6 + (((reg0 >>> 4) & reg5) & 0xffffffff))).f16;	expression_replaced_by_the_register_holding_it
03090_sub_9258f4.dartpseudo	if ((reg4 - 1) >= reg3) {	if (reg4Minus1 >= reg3) {	expression_replaced_by_the_register_holding_it
03090_sub_9258f4.dartpseudo	if ((((reg2.f8 + ((reg4 - 1) << 2))).f0 & 0xffffffff) != 0) {	if ((((reg2.f8 + (reg4Minus1 << 2))).f0 & 0xffffffff) != 0) {	expression_replaced_by_the_register_holding_it
03119_sub_936128.dartpseudo	if ((((reg4 + reg3) + smiUntag((((((reg3 == (reg1 & 0xffffffff)) & 0x10) == 0) ? 1 : 0) << 1))) & 0xc0000000) == 0) {	if ((((reg4 + reg3) + reg3) & 0xc0000000) != 0) {	expression_replaced_by_the_register_holding_it
03119_sub_936128.dartpseudo	final t7 = sub_d51af0(((reg4 + reg3) + smiUntag((((((reg3 == (reg1 & 0xffffffff)) & 0x10) != 0) ? 1 : 0) << 1))), reg2, thread.f88, (reg4 + reg3));	final t7 = sub_d51af0(((reg4 + reg3) + reg3), reg2, thread.f88, (reg4 + reg3));	expression_replaced_by_the_register_holding_it
03491_sub_996c20.dartpseudo	if (tmp9 >= (reg1 - 1)) {	if (tmp9 >= reg1Minus1) {	expression_replaced_by_the_register_holding_it
03492_sub_997050.dartpseudo	reg3.f16 = ((reg5 + (reg6 << 2))).f16;	reg3.f16 = reg8;	expression_replaced_by_the_register_holding_it
03509_sub_99c108.dartpseudo	reg7.f132 = ((reg15 + (signExtend((reg4.f20 - 0x34), 32) << 2))).f16;	reg7.f132 = reg0;	expression_replaced_by_the_register_holding_it
03509_sub_99c108.dartpseudo	reg7.f172 = ((reg15 + (signExtend((reg4.f20 - 0x34), 32) << 2))).f88;	reg7.f172 = reg0;	expression_replaced_by_the_register_holding_it
04077_sub_a293c8.dartpseudo	if ((((reg4 + (reg3 << 2))).f16).f8 == reg2) {	if (reg3 == reg2) {	expression_replaced_by_the_register_holding_it
04171_sub_a4cc04.dartpseudo	reg6.f36 = ((reg15 + (signExtend((reg4.f20 - 0x30), 32) << 2))).f72;	reg6.f36 = reg25;	expression_replaced_by_the_register_holding_it
04657_sub_b20c38.dartpseudo	if (((((reg4 + ((((reg5 - (signedDivide(reg5, reg2) * 0x64)) << 1) + 1) << 2))).f16 >> 0) & 1) == 0) {	if (((reg9 >> 0) & 1) == 0) {	expression_replaced_by_the_register_holding_it
04657_sub_b20c38.dartpseudo	if (((((reg4 + (reg5 << 2))).f16 >> 0) & 1) == 0) {	if (((reg9 >> 0) & 1) == 0) {	expression_replaced_by_the_register_holding_it
04657_sub_b20c38.dartpseudo	if (((((reg4 + ((((reg5 - (signedDivide(reg5, reg2) * 0x64)) << 1) + 1) << 2))).f16 >> 0) & 1) == 0) {	if (((reg9 >> 0) & 1) == 0) {	expression_replaced_by_the_register_holding_it
04662_sub_b21564.dartpseudo	return (((((((reg8 & 0xffffffff) + (((reg8 & 0xffffffff) & 0x3ffffff) << 3)) & reg4) ^ ((((reg8 & 0xffffffff) + (((reg8 & 0xffffffff) & 0x3ffffff) << 3)) & reg4) >>> 0xb)) + ((((((reg8 & 0xffffffff) + (((reg8 & 0xffffffff) & 0x3ffffff) << 3)) & reg4) ^ ((((reg8 & 0xffffffff) + (((reg8 & 0xffffffff) & 0x3ffffff) << 3)) & reg4) >>> 0xb)) & 0x3fff) << 0xf)) & reg4) << 1);	return (reg1 << 1);	expression_replaced_by_the_register_holding_it
04840_sub_b838f0.dartpseudo	((reg2 + (reg4 << 1))).f24 = (((((reg4 & 0xffffffff) & reg3) & 0xffffffff) - 0x70) << 0xa);	((reg2 + (reg4 << 1))).f24 = reg6;	expression_replaced_by_the_register_holding_it
04840_sub_b838f0.dartpseudo	((reg2 + ((reg4 | 0x100) << 1))).f24 = ((((((reg4 & 0xffffffff) & reg3) & 0xffffffff) - 0x70) << 0xa) | 0x8000);	((reg2 + ((reg4 | 0x100) << 1))).f24 = reg7;	expression_replaced_by_the_register_holding_it
04865_sub_b87930.dartpseudo	((tmp3.f36 + tmp5)).f24 = ((reg6 & 0xffffffff) | reg2);	((tmp3.f36 + tmp5)).f24 = reg3;	expression_replaced_by_the_register_holding_it
04865_sub_b87930.dartpseudo	((tmp3.f36 + tmp5)).f24 = ((reg6 & 0xffffffff) | reg2);	((tmp3.f36 + tmp5)).f24 = reg3;	expression_replaced_by_the_register_holding_it
04866_sub_b87d8c.dartpseudo	((tmp3.f36 + tmp5)).f24 = ((reg6 & 0xffffffff) | reg3);	((tmp3.f36 + tmp5)).f24 = reg2;	expression_replaced_by_the_register_holding_it
04866_sub_b87d8c.dartpseudo	((tmp3.f36 + tmp5)).f24 = ((reg6 & 0xffffffff) | reg3);	((tmp3.f36 + tmp5)).f24 = reg2;	expression_replaced_by_the_register_holding_it
04871_sub_b89428.dartpseudo	((tmp15.f20 + reg2)).f24 = ((reg5 & 0xffffffff) | reg1);	((tmp15.f20 + reg2)).f24 = reg3;	expression_replaced_by_the_register_holding_it
04871_sub_b89428.dartpseudo	((tmp15.f20 + reg2)).f24 = ((reg9 & 0xffffffff) | (reg6 << 4));	((tmp15.f20 + reg2)).f24 = reg6;	expression_replaced_by_the_register_holding_it
04992_sub_baae60.dartpseudo	reg2.f36 = (reg4 - 1);	reg2.f36 = reg4Minus1;	expression_replaced_by_the_register_holding_it
04992_sub_baae60.dartpseudo	reg2.f36 = (reg4 - 1);	reg2.f36 = reg4Minus1;	expression_replaced_by_the_register_holding_it
05149_sub_bdd098.dartpseudo	final t6 = sub_90b144(reg0);	final t1 = sub_90b144();	other
05201_sub_bef034.dartpseudo	tmp3 = (((((((reg2 + (reg2 >>> 4)) & reg4) + (((reg2 + (reg2 >>> 4)) & reg4) >>> 8)) + ((((reg2 + (reg2 >>> 4)) & reg4) + (((reg2 + (reg2 >>> 4)) & reg4) >>> 8)) >>> 0x10)) & reg0) & 0xffffffff) << 1);	tmp3 = (((((reg1 + (reg1 >>> 8)) + ((reg1 + (reg1 >>> 8)) >>> 0x10)) & reg0) & 0xffffffff) << 1);	expression_replaced_by_the_register_holding_it
05201_sub_bef034.dartpseudo	if ((((((((reg2 + (reg2 >>> 4)) & reg4) + (((reg2 + (reg2 >>> 4)) & reg4) >>> 8)) + ((((reg2 + (reg2 >>> 4)) & reg4) + (((reg2 + (reg2 >>> 4)) & reg4) >>> 8)) >>> 0x10)) & reg0) & 0xffffffff) << 1) >= smiUntag(reg13.f16.f12)) {	if ((((((reg1 + (reg1 >>> 8)) + ((reg1 + (reg1 >>> 8)) >>> 0x10)) & reg0) & 0xffffffff) << 1) >= smiUntag(reg13.f16.f12)) {	expression_replaced_by_the_register_holding_it
05201_sub_bef034.dartpseudo	tmp3 = (((((((reg2 + (reg2 >>> 4)) & reg4) + (((reg2 + (reg2 >>> 4)) & reg4) >>> 8)) + ((((reg2 + (reg2 >>> 4)) & reg4) + (((reg2 + (reg2 >>> 4)) & reg4) >>> 8)) >>> 0x10)) & reg0) & 0xffffffff) << 1);	tmp3 = (((((reg1 + (reg1 >>> 8)) + ((reg1 + (reg1 >>> 8)) >>> 0x10)) & reg0) & 0xffffffff) << 1);	expression_replaced_by_the_register_holding_it
05201_sub_bef034.dartpseudo	if ((((((((reg2 + (reg2 >>> 4)) & reg4) + (((reg2 + (reg2 >>> 4)) & reg4) >>> 8)) + ((((reg2 + (reg2 >>> 4)) & reg4) + (((reg2 + (reg2 >>> 4)) & reg4) >>> 8)) >>> 0x10)) & reg0) & 0xffffffff) << 1) >= smiUntag(reg13.f16.f12)) {	if ((((((reg1 + (reg1 >>> 8)) + ((reg1 + (reg1 >>> 8)) >>> 0x10)) & reg0) & 0xffffffff) << 1) >= smiUntag(reg13.f16.f12)) {	expression_replaced_by_the_register_holding_it
05393_sub_c42980.dartpseudo	((reg4 + (reg8 << 2))).f24 = signExtend(((reg7 + reg2) >> 1), 32);	((reg4 + (reg8 << 2))).f24 = reg2;	expression_replaced_by_the_register_holding_it
05393_sub_c42980.dartpseudo	((reg4 + (reg8 << 2))).f24 = signExtend(((reg7 + reg2) >> 1), 32);	((reg4 + (reg8 << 2))).f24 = reg2;	expression_replaced_by_the_register_holding_it
05514_sub_c84ea8.dartpseudo	if (reg4.f20 >= smiUntag(reg4.f8.f12)) {	if (slot1.f20 >= smiUntag(slot1.f8.f12)) {	register_named_as_parameter_slot
05530_sub_c8b9b8.dartpseudo	if ((((reg2 + reg4) + smiUntag((((((reg4 == (reg3 & 0xffffffff)) & 0x10) == 0) ? 1 : 0) << 1))) & 0xc0000000) == 0) {	if ((((reg2 + reg4) + reg2) & 0xc0000000) != 0) {	expression_replaced_by_the_register_holding_it
05530_sub_c8b9b8.dartpseudo	final t7 = sub_d51af0(reg1, thread.f88, ((reg2 + reg4) + smiUntag((((((reg4 == (reg3 & 0xffffffff)) & 0x10) != 0) ? 1 : 0) << 1))), (reg2 + reg4));	final t7 = sub_d51af0(reg1, thread.f88, ((reg2 + reg4) + reg2), (reg2 + reg4));	expression_replaced_by_the_register_holding_it
05548_sub_c93e0c.dartpseudo	if ((((((((reg5 & 0xffffffff) >>> 0x10) + (reg4 & 0xffffffff)) + (((reg2 & 0xffffffff) & reg3) << 0x10)) + smiUntag((((((reg7 == (reg6 & 0xffffffff)) & 0x10) == 0) ? 1 : 0) << 1))) + smiUntag((((((((reg5 & 0xffffffff) & 0xffffffff) == reg5) & 0x10) != 0) ? 1 : 0) << 0x11))) & 0xc0000000) == 0) {	if (((((((reg7 >>> 0x10) + reg4) + (reg4 << 0x10)) + reg2) + reg2) & 0xc0000000) != 0) {	expression_replaced_by_the_register_holding_it
05548_sub_c93e0c.dartpseudo	final t5 = sub_d51af0(reg1, thread.f88, ((((((reg5 & 0xffffffff) >>> 0x10) + (reg4 & 0xffffffff)) + (((reg2 & 0xffffffff) & reg3) << 0x10)) + smiUntag((((((reg7 == (reg6 & 0xffffffff)) & 0x10) != 0) ? 1 : 0) << 1))) + smiUntag((((((((reg5 & 0xffffffff) & 0xffffffff) == reg5) & 0x10) != 0) ? 1 : 0) << 0x11))), (((((((reg5 & 0xffffffff) & 0xffffffff) == reg5) & 0x10) != 0) ? 1 : 0) << 0x11), (((((reg7 == (reg6 & 0xffffffff)) & 0x10) != 0) ? 1 : 0) << 1), (((reg5 & 0xffffffff) >>> 0x10) + (reg4 & 0xffffffff)));	final t5 = sub_d51af0(reg1, thread.f88, (((((reg7 >>> 0x10) + reg4) + (reg4 << 0x10)) + reg2) + reg2), (((((((reg5 & 0xffffffff) & 0xffffffff) == reg5) & 0x10) != 0) ? 1 : 0) << 0x11), (((((reg7 == (reg6 & 0xffffffff)) & 0x10) != 0) ? 1 : 0) << 1), ((reg7 >>> 0x10) + reg4));	expression_replaced_by_the_register_holding_it
05556_sub_cf0180.dartpseudo	((reg7 + reg9)).f24 = (((reg12 & 0xffffffff) & reg3) & 0xffffffff);	((reg7 + reg9)).f24 = reg13;	expression_replaced_by_the_register_holding_it
05558_sub_cf0650.dartpseudo	((reg7 + reg9)).f24 = (((reg13 & 0xffffffff) & reg3) & 0xffffffff);	((reg7 + reg9)).f24 = reg14;	expression_replaced_by_the_register_holding_it
05613_sub_d20fc8.dartpseudo	((reg2 + reg7)).f24 = (((reg2 + reg7)).f24 ^ ((reg3 + reg7)).f24);	((reg2 + reg7)).f24 = reg1;	expression_replaced_by_the_register_holding_it
05617_sub_d2241c.dartpseudo	if (((((((((0x1c <= 0x1f) ? ((((tmp13 ^ (tmp5 | reg1)) & 0xffffffff) & reg0) << 0x1c) : 0) & 0xffffffff) | ((tmp13 ^ (tmp5 | reg1)) >> 4)) ^ reg1) & 0xffffffff) & 0x3f) & 0xffffffff) >= smiUntag(tmp8.f12)) {	if (((((((((0x1c <= 0x1f) ? (reg2 << 0x1c) : 0) & 0xffffffff) | ((tmp13 ^ (tmp5 | reg1)) >> 4)) ^ reg1) & 0xffffffff) & 0x3f) & 0xffffffff) >= smiUntag(tmp8.f12)) {	expression_replaced_by_the_register_holding_it
05617_sub_d2241c.dartpseudo	if ((((((((((0x1c <= 0x1f) ? ((((tmp13 ^ (tmp5 | reg1)) & 0xffffffff) & reg0) << 0x1c) : 0) & 0xffffffff) | ((tmp13 ^ (tmp5 | reg1)) >> 4)) ^ reg1) >> 8) & 0xffffffff) & 0x3f) & 0xffffffff) >= smiUntag(tmp6.f12)) {	if ((((((((((0x1c <= 0x1f) ? (reg2 << 0x1c) : 0) & 0xffffffff) | ((tmp13 ^ (tmp5 | reg1)) >> 4)) ^ reg1) >> 8) & 0xffffffff) & 0x3f) & 0xffffffff) >= smiUntag(tmp6.f12)) {	expression_replaced_by_the_register_holding_it
05617_sub_d2241c.dartpseudo	if ((((((((((0x1c <= 0x1f) ? ((((tmp13 ^ (tmp5 | reg1)) & 0xffffffff) & reg0) << 0x1c) : 0) & 0xffffffff) | ((tmp13 ^ (tmp5 | reg1)) >> 4)) ^ reg1) >> 0x10) & 0xffffffff) & 0x3f) & 0xffffffff) >= smiUntag(tmp9.f12)) {	if ((((((((((0x1c <= 0x1f) ? (reg2 << 0x1c) : 0) & 0xffffffff) | ((tmp13 ^ (tmp5 | reg1)) >> 4)) ^ reg1) >> 0x10) & 0xffffffff) & 0x3f) & 0xffffffff) >= smiUntag(tmp9.f12)) {	expression_replaced_by_the_register_holding_it
05617_sub_d2241c.dartpseudo	if ((((((((((0x1c <= 0x1f) ? ((((tmp13 ^ (tmp5 | reg1)) & 0xffffffff) & reg0) << 0x1c) : 0) & 0xffffffff) | ((tmp13 ^ (tmp5 | reg1)) >> 4)) ^ reg1) >> 0x18) & 0xffffffff) & 0x3f) & 0xffffffff) >= smiUntag(tmp4.f12)) {	if ((((((((((0x1c <= 0x1f) ? (reg2 << 0x1c) : 0) & 0xffffffff) | ((tmp13 ^ (tmp5 | reg1)) >> 4)) ^ reg1) >> 0x18) & 0xffffffff) & 0x3f) & 0xffffffff) >= smiUntag(tmp4.f12)) {	expression_replaced_by_the_register_holding_it
05704_sub_d4df58.dartpseudo	final t8 = sel4(reg0); // dispatch table, selector_offset: 4, args: lower bound, receiver: unrecovered	final t7 = sel4(slot1); // dispatch table, selector_offset: 4, args: lower bound, receiver: unrecovered	register_named_as_parameter_slot
05710_sub_d4f048.dartpseudo	return reg4;	return slot0;	register_named_as_parameter_slot
05710_sub_d4f048.dartpseudo	return reg3;	return slot1;	register_named_as_parameter_slot
05735_sub_d504c4.dartpseudo	reg3[((reg1 - 1) * 4)] = signExtend(reg4[((reg1 - 1) * 4)], 32);	reg3[((reg1 - 1) * 4)] = reg5;	expression_replaced_by_the_register_holding_it
