old_oid	post_repair_oid	citation	disposition
61e89fdf915f62e97a32df21385ee151a05690e6	be38db284e3b57eadbc906d92a4533a9e22cdb6b	docs/research-ir-cfg-emitter.md:1017:`git show --stat 61e89fd`, 8 files. One of them is the fix and four follow from	retained-as-pre-repair-provenance
61e89fdf915f62e97a32df21385ee151a05690e6	be38db284e3b57eadbc906d92a4533a9e22cdb6b	docs/research-ir-cfg-emitter.md:1030:The commit message of `61e89fd` states the defect and the fix in its own words.	retained-as-pre-repair-provenance
61e89fdf915f62e97a32df21385ee151a05690e6	be38db284e3b57eadbc906d92a4533a9e22cdb6b	docs/research-ir-cfg-emitter.md:1099:  2026-08-18T06:16:26Z, which is 43 minutes 54 seconds after `61e89fd`. There is	retained-as-pre-repair-provenance
61e89fdf915f62e97a32df21385ee151a05690e6	be38db284e3b57eadbc906d92a4533a9e22cdb6b	docs/research-ir-cfg-emitter.md:1134:`bench-spans` on, holds from `61e89fd` onward and not before it. It is a	retained-as-pre-repair-provenance
61e89fdf915f62e97a32df21385ee151a05690e6	be38db284e3b57eadbc906d92a4533a9e22cdb6b	docs/research-ir-cfg-emitter.md:1142:`61e89fd`, `5bf6595` and `5f6a39f`, all before baseline acceptance. That change	retained-as-pre-repair-provenance
5bf659564c6237532013c83227588f361fe1cbac	191209cb91a84f255b9c80edacebd5cab46866c8	docs/oracle-protocol-ir-cfg-emitter.md:696:| `5bf6595` | intermediate | `6ee0cdf976f4fe02c1b3bebb4495bd2dfe34dc1fbd431b1ce9b52201eebbf878` |	retained-as-pre-repair-provenance
5bf659564c6237532013c83227588f361fe1cbac	191209cb91a84f255b9c80edacebd5cab46866c8	docs/oracle-protocol-ir-cfg-emitter.md:730:`61e89fd` to `5bf6595`, digest `675099447f...` to `6ee0cdf976...`. Adds	retained-as-pre-repair-provenance
5bf659564c6237532013c83227588f361fe1cbac	191209cb91a84f255b9c80edacebd5cab46866c8	docs/oracle-protocol-ir-cfg-emitter.md:736:`5bf6595` to `5f6a39f`, digest `6ee0cdf976...` to `2f76a8b9...`. Adds	retained-as-pre-repair-provenance
5bf659564c6237532013c83227588f361fe1cbac	191209cb91a84f255b9c80edacebd5cab46866c8	docs/oracle-protocol-ir-cfg-emitter.md:815:   harness commits `61e89fd`, `5bf6595`, and `5f6a39f`, rather than landing as a	retained-as-pre-repair-provenance
5bf659564c6237532013c83227588f361fe1cbac	191209cb91a84f255b9c80edacebd5cab46866c8	docs/research-ir-cfg-emitter.md:1027:| `scripts/ci-check.sh` | follows: 14 lines adding the harness clippy and test lanes, since `--workspace` no longer reaches it; the fmt lane arrives at `5bf6595` |	retained-as-pre-repair-provenance
5bf659564c6237532013c83227588f361fe1cbac	191209cb91a84f255b9c80edacebd5cab46866c8	docs/research-ir-cfg-emitter.md:1142:`61e89fd`, `5bf6595` and `5f6a39f`, all before baseline acceptance. That change	retained-as-pre-repair-provenance
059c7b1c6fabd1fcc0be8fd1da984114bb178ca8	825c6e385cfae43b06ea0f323f5ab0450ccfcd93	docs/baseline-ir-cfg-emitter.md:8:This document replaces the baseline recorded at harness `059c7b1` in commit	retained-as-pre-repair-provenance
059c7b1c6fabd1fcc0be8fd1da984114bb178ca8	825c6e385cfae43b06ea0f323f5ab0450ccfcd93	docs/baseline-ir-cfg-emitter.md:253:At harness `059c7b1` these four cells read +0.011, +0.007, +0.016, +0.010 with	retained-as-pre-repair-provenance
059c7b1c6fabd1fcc0be8fd1da984114bb178ca8	825c6e385cfae43b06ea0f323f5ab0450ccfcd93	docs/baseline-ir-cfg-emitter.md:268:At `059c7b1` the same tables read 116 and 109 candidate-slower, with 20 of 28	retained-as-pre-repair-provenance
059c7b1c6fabd1fcc0be8fd1da984114bb178ca8	825c6e385cfae43b06ea0f323f5ab0450ccfcd93	docs/oracle-protocol-ir-cfg-emitter.md:697:| `059c7b1`, `e2e66a7` | unchanged | `6ee0cdf976f4fe02c1b3bebb4495bd2dfe34dc1fbd431b1ce9b52201eebbf878` |	retained-as-pre-repair-provenance
e2e66a7dd2fc2bc986b35fe921bce91b80ce750d	53e599208bf612ab767a3bb2ae33f364649e7260	docs/baseline-ir-cfg-emitter.md:9:`e2e66a7`. That run and the one before it are void, for reasons and with	retained-as-pre-repair-provenance
e2e66a7dd2fc2bc986b35fe921bce91b80ce750d	53e599208bf612ab767a3bb2ae33f364649e7260	docs/baseline-ir-cfg-emitter.md:50:`e2e66a7`, which touched `docs/README.md` and `docs/baseline-ir-cfg-emitter.md`,	retained-as-pre-repair-provenance
e2e66a7dd2fc2bc986b35fe921bce91b80ce750d	53e599208bf612ab767a3bb2ae33f364649e7260	docs/oracle-protocol-ir-cfg-emitter.md:697:| `059c7b1`, `e2e66a7` | unchanged | `6ee0cdf976f4fe02c1b3bebb4495bd2dfe34dc1fbd431b1ce9b52201eebbf878` |	retained-as-pre-repair-provenance
e2e66a7dd2fc2bc986b35fe921bce91b80ce750d	53e599208bf612ab767a3bb2ae33f364649e7260	docs/research-ir-cfg-emitter.md:1098:- The first commit that adds anything under `docs/baseline/` is `e2e66a7` at	retained-as-pre-repair-provenance
e2e66a7dd2fc2bc986b35fe921bce91b80ce750d	53e599208bf612ab767a3bb2ae33f364649e7260	docs/research-ir-cfg-emitter.md:1103:  `harness-b4b1d8c.patch` (added by `e2e66a7`, deleted by `af0bd4f`) and the	retained-as-pre-repair-provenance
5f6a39f7adf231fce9ec09852d3d57bcdd0a47b4	53e335d7adfdc1f1905d42e50d4678c55cafb886	docs/oracle-protocol-ir-cfg-emitter.md:698:| `5f6a39f` | third move, the value this record was written against | `2f76a8b9abac96db026386c0626d248ade81e9690e563cbaaa901b86472b4457` |	retained-as-pre-repair-provenance
5f6a39f7adf231fce9ec09852d3d57bcdd0a47b4	53e335d7adfdc1f1905d42e50d4678c55cafb886	docs/oracle-protocol-ir-cfg-emitter.md:736:`5bf6595` to `5f6a39f`, digest `6ee0cdf976...` to `2f76a8b9...`. Adds	retained-as-pre-repair-provenance
5f6a39f7adf231fce9ec09852d3d57bcdd0a47b4	53e335d7adfdc1f1905d42e50d4678c55cafb886	docs/oracle-protocol-ir-cfg-emitter.md:815:   harness commits `61e89fd`, `5bf6595`, and `5f6a39f`, rather than landing as a	retained-as-pre-repair-provenance
5f6a39f7adf231fce9ec09852d3d57bcdd0a47b4	53e335d7adfdc1f1905d42e50d4678c55cafb886	docs/oracle-protocol-ir-cfg-emitter.md:1006:| `5f6a39f` through `9757328` | prior, adjudicated in section 10 | `2f76a8b9abac96db026386c0626d248ade81e9690e563cbaaa901b86472b4457` |	retained-as-pre-repair-provenance
5f6a39f7adf231fce9ec09852d3d57bcdd0a47b4	53e335d7adfdc1f1905d42e50d4678c55cafb886	docs/research-ir-cfg-emitter.md:1142:`61e89fd`, `5bf6595` and `5f6a39f`, all before baseline acceptance. That change	retained-as-pre-repair-provenance
4c127aba4e74fb6f8d486c4cb066586bb0d74846	ede255ae36abd9e37573969686e44b7bd4467638	docs/baseline-ir-cfg-emitter.md:23:| Harness revision | `4c127aba4e74fb6f8d486c4cb066586bb0d74846` |	retained-as-pre-repair-provenance
4c127aba4e74fb6f8d486c4cb066586bb0d74846	ede255ae36abd9e37573969686e44b7bd4467638	docs/baseline-ir-cfg-emitter.md:27:| Patch generated by | `git diff 282a1b3 4c127ab -- . ':!docs'` |	retained-as-pre-repair-provenance
4c127aba4e74fb6f8d486c4cb066586bb0d74846	ede255ae36abd9e37573969686e44b7bd4467638	docs/baseline-ir-cfg-emitter.md:39:The patch filename is historical and remains unchanged; `4c127ab` has the same	retained-as-pre-repair-provenance
4c127aba4e74fb6f8d486c4cb066586bb0d74846	ede255ae36abd9e37573969686e44b7bd4467638	docs/baseline-ir-cfg-emitter.md:49:The patch excludes `docs/`. It has to: `282a1b3..4c127ab` now spans commit	retained-as-pre-repair-provenance
4c127aba4e74fb6f8d486c4cb066586bb0d74846	ede255ae36abd9e37573969686e44b7bd4467638	docs/baseline-ir-cfg-emitter.md:68:  --label "A/A aa-N harness 4c127ab"	retained-as-pre-repair-provenance
4c127aba4e74fb6f8d486c4cb066586bb0d74846	ede255ae36abd9e37573969686e44b7bd4467638	docs/baseline-ir-cfg-emitter.md:404:  revision: both runs bind `harness_ref 4c127ab`, the accepted patch carries the	retained-as-pre-repair-provenance
4c127aba4e74fb6f8d486c4cb066586bb0d74846	ede255ae36abd9e37573969686e44b7bd4467638	docs/final-performance/README.md:56:`4c127aba4e74fb6f8d486c4cb066586bb0d74846`, tree	retained-as-pre-repair-provenance
4c127aba4e74fb6f8d486c4cb066586bb0d74846	ede255ae36abd9e37573969686e44b7bd4467638	docs/final-performance/analyze-final.py:15:TIMING_HARNESS = "4c127aba4e74fb6f8d486c4cb066586bb0d74846"	retained-as-pre-repair-provenance
4c127aba4e74fb6f8d486c4cb066586bb0d74846	ede255ae36abd9e37573969686e44b7bd4467638	docs/final-performance/evidence/binding.txt:14:accepted_timing_harness_ref 4c127aba4e74fb6f8d486c4cb066586bb0d74846	retained-as-pre-repair-provenance
4c127aba4e74fb6f8d486c4cb066586bb0d74846	ede255ae36abd9e37573969686e44b7bd4467638	docs/final-performance/evidence/disclosed/timing/warmup-candidate.json:6:    "harness_ref": "4c127aba4e74fb6f8d486c4cb066586bb0d74846",	retained-as-pre-repair-provenance
4c127aba4e74fb6f8d486c4cb066586bb0d74846	ede255ae36abd9e37573969686e44b7bd4467638	docs/final-performance/evidence/disclosed/timing/warmup-candidate.json:17:    "command": "/home/camilo/flutterdec/.post-correctness-tmp/final-performance-run/bin/timing/candidate/flutterdec-bench run --matrix disclosed --warmups 3 --runs 0 --correctness on --product-ref 9b82e07fa62f97654aea5153d9fb6a2ef57a377a --harness-ref 4c127aba4e74fb6f8d486c4cb066586bb0d74846 --patch-sha256 14413796ca8a89cc1328497b5c87629b1c55f945ec58e73eebb3838df0700460 --binary-sha256 142253244fabb79894e9ab3622d93dc816623d92f8fa5dcbbc9a1b6b949046d5 --label final disclosed candidate warmup --out /home/camilo/flutterdec/.post-correctness-tmp/final-performance-run/disclosed/timing/warmup-candidate.json",	retained-as-pre-repair-provenance
4c127aba4e74fb6f8d486c4cb066586bb0d74846	ede255ae36abd9e37573969686e44b7bd4467638	docs/final-performance/evidence/disclosed/timing/warmup-reference.json:6:    "harness_ref": "4c127aba4e74fb6f8d486c4cb066586bb0d74846",	retained-as-pre-repair-provenance
4c127aba4e74fb6f8d486c4cb066586bb0d74846	ede255ae36abd9e37573969686e44b7bd4467638	docs/final-performance/evidence/disclosed/timing/warmup-reference.json:17:    "command": "/home/camilo/flutterdec/.post-correctness-tmp/final-performance-run/bin/timing/reference/flutterdec-bench run --matrix disclosed --warmups 3 --runs 0 --correctness on --product-ref 630ec442d951aac5704ae80287367912bfbfc388 --harness-ref 4c127aba4e74fb6f8d486c4cb066586bb0d74846 --patch-sha256 14413796ca8a89cc1328497b5c87629b1c55f945ec58e73eebb3838df0700460 --binary-sha256 3d336d0000b5b88dda101d58412660b8fb737a76ba5fe7643905191c3f6b2098 --label final disclosed reference warmup --out /home/camilo/flutterdec/.post-correctness-tmp/final-performance-run/disclosed/timing/warmup-reference.json",	retained-as-pre-repair-provenance
4c127aba4e74fb6f8d486c4cb066586bb0d74846	ede255ae36abd9e37573969686e44b7bd4467638	docs/final-performance/evidence/final-audit.json:2:  "accepted_timing_harness_ref": "4c127aba4e74fb6f8d486c4cb066586bb0d74846",	retained-as-pre-repair-provenance
4c127aba4e74fb6f8d486c4cb066586bb0d74846	ede255ae36abd9e37573969686e44b7bd4467638	docs/final-performance/evidence/held-out/timing/warmup-candidate.json:6:    "harness_ref": "4c127aba4e74fb6f8d486c4cb066586bb0d74846",	retained-as-pre-repair-provenance
4c127aba4e74fb6f8d486c4cb066586bb0d74846	ede255ae36abd9e37573969686e44b7bd4467638	docs/final-performance/evidence/held-out/timing/warmup-candidate.json:17:    "command": "/home/camilo/flutterdec/.post-correctness-tmp/final-performance-run/bin/timing/candidate/flutterdec-bench run --matrix held-out --held-out-seed 522fd89869ed6662b16def9f47e45194 --warmups 3 --runs 0 --correctness on --product-ref 9b82e07fa62f97654aea5153d9fb6a2ef57a377a --harness-ref 4c127aba4e74fb6f8d486c4cb066586bb0d74846 --patch-sha256 14413796ca8a89cc1328497b5c87629b1c55f945ec58e73eebb3838df0700460 --binary-sha256 142253244fabb79894e9ab3622d93dc816623d92f8fa5dcbbc9a1b6b949046d5 --label final held-out candidate warmup --out /home/camilo/flutterdec/.post-correctness-tmp/final-performance-run/held-out/timing/warmup-candidate.json",	retained-as-pre-repair-provenance
4c127aba4e74fb6f8d486c4cb066586bb0d74846	ede255ae36abd9e37573969686e44b7bd4467638	docs/final-performance/evidence/held-out/timing/warmup-reference.json:6:    "harness_ref": "4c127aba4e74fb6f8d486c4cb066586bb0d74846",	retained-as-pre-repair-provenance
4c127aba4e74fb6f8d486c4cb066586bb0d74846	ede255ae36abd9e37573969686e44b7bd4467638	docs/final-performance/evidence/held-out/timing/warmup-reference.json:17:    "command": "/home/camilo/flutterdec/.post-correctness-tmp/final-performance-run/bin/timing/reference/flutterdec-bench run --matrix held-out --held-out-seed 522fd89869ed6662b16def9f47e45194 --warmups 3 --runs 0 --correctness on --product-ref 630ec442d951aac5704ae80287367912bfbfc388 --harness-ref 4c127aba4e74fb6f8d486c4cb066586bb0d74846 --patch-sha256 14413796ca8a89cc1328497b5c87629b1c55f945ec58e73eebb3838df0700460 --binary-sha256 3d336d0000b5b88dda101d58412660b8fb737a76ba5fe7643905191c3f6b2098 --label final held-out reference warmup --out /home/camilo/flutterdec/.post-correctness-tmp/final-performance-run/held-out/timing/warmup-reference.json",	retained-as-pre-repair-provenance
4c127aba4e74fb6f8d486c4cb066586bb0d74846	ede255ae36abd9e37573969686e44b7bd4467638	docs/final-performance/finalize-existing.sh:14:timing_harness="4c127aba4e74fb6f8d486c4cb066586bb0d74846"	retained-as-pre-repair-provenance
4c127aba4e74fb6f8d486c4cb066586bb0d74846	ede255ae36abd9e37573969686e44b7bd4467638	docs/final-performance/run-final.sh:16:timing_harness="4c127aba4e74fb6f8d486c4cb066586bb0d74846"	retained-as-pre-repair-provenance
4c127aba4e74fb6f8d486c4cb066586bb0d74846	ede255ae36abd9e37573969686e44b7bd4467638	docs/oracle-protocol-ir-cfg-emitter.md:699:| `4c127ab` through `9757328` | unchanged, docs-only and harness-only commits | `2f76a8b9abac96db026386c0626d248ade81e9690e563cbaaa901b86472b4457` |	retained-as-pre-repair-provenance
4c127aba4e74fb6f8d486c4cb066586bb0d74846	ede255ae36abd9e37573969686e44b7bd4467638	docs/performance-profile/evidence/binding.txt:11:harness_ref                  4c127aba4e74fb6f8d486c4cb066586bb0d74846	retained-as-pre-repair-provenance
4c127aba4e74fb6f8d486c4cb066586bb0d74846	ede255ae36abd9e37573969686e44b7bd4467638	docs/post-correctness/README.md:23:revisions with timing harness `4c127aba4e74fb6f8d486c4cb066586bb0d74846`	retained-as-pre-repair-provenance
4c127aba4e74fb6f8d486c4cb066586bb0d74846	ede255ae36abd9e37573969686e44b7bd4467638	Binary file c2d514b595e05d0150ccc7a19c6454bb3443fb43:docs/post-correctness/__pycache__/refresh-attribution.cpython-313.pyc matches	retained-as-pre-repair-provenance
4c127aba4e74fb6f8d486c4cb066586bb0d74846	ede255ae36abd9e37573969686e44b7bd4467638	docs/post-correctness/evidence/binding.txt:5:harness_ref                4c127aba4e74fb6f8d486c4cb066586bb0d74846	retained-as-pre-repair-provenance
4c127aba4e74fb6f8d486c4cb066586bb0d74846	ede255ae36abd9e37573969686e44b7bd4467638	docs/post-correctness/evidence/raw/candidate-0.json:6:    "harness_ref": "4c127aba4e74fb6f8d486c4cb066586bb0d74846",	retained-as-pre-repair-provenance
4c127aba4e74fb6f8d486c4cb066586bb0d74846	ede255ae36abd9e37573969686e44b7bd4467638	docs/post-correctness/evidence/raw/candidate-0.json:17:    "command": "/home/camilo/flutterdec/.worker-tmp/valmetric5-rerun/run-output/bin/timing/candidate/flutterdec-bench run --matrix disclosed --warmups 0 --runs 1 --correctness off --product-ref 5ba4b6d30604606c04b5b742eaf9469adc1c729d --harness-ref 4c127aba4e74fb6f8d486c4cb066586bb0d74846 --patch-sha256 14413796ca8a89cc1328497b5c87629b1c55f945ec58e73eebb3838df0700460 --binary-sha256 ff696e5ed2857b17f30f7524aa57c246d959aa76eb9019d799820666f59532db --label post-correctness refresh candidate pair 0 second --out /home/camilo/flutterdec/.worker-tmp/valmetric5-rerun/run-output/raw/candidate-0.json --samples /home/camilo/flutterdec/.worker-tmp/valmetric5-rerun/run-output/raw/candidate-0.tsv",	retained-as-pre-repair-provenance
4c127aba4e74fb6f8d486c4cb066586bb0d74846	ede255ae36abd9e37573969686e44b7bd4467638	docs/post-correctness/evidence/raw/candidate-1.json:6:    "harness_ref": "4c127aba4e74fb6f8d486c4cb066586bb0d74846",	retained-as-pre-repair-provenance
4c127aba4e74fb6f8d486c4cb066586bb0d74846	ede255ae36abd9e37573969686e44b7bd4467638	docs/post-correctness/evidence/raw/candidate-1.json:17:    "command": "/home/camilo/flutterdec/.worker-tmp/valmetric5-rerun/run-output/bin/timing/candidate/flutterdec-bench run --matrix disclosed --warmups 0 --runs 1 --correctness off --product-ref 5ba4b6d30604606c04b5b742eaf9469adc1c729d --harness-ref 4c127aba4e74fb6f8d486c4cb066586bb0d74846 --patch-sha256 14413796ca8a89cc1328497b5c87629b1c55f945ec58e73eebb3838df0700460 --binary-sha256 ff696e5ed2857b17f30f7524aa57c246d959aa76eb9019d799820666f59532db --label post-correctness refresh candidate pair 1 first --out /home/camilo/flutterdec/.worker-tmp/valmetric5-rerun/run-output/raw/candidate-1.json --samples /home/camilo/flutterdec/.worker-tmp/valmetric5-rerun/run-output/raw/candidate-1.tsv",	retained-as-pre-repair-provenance
4c127aba4e74fb6f8d486c4cb066586bb0d74846	ede255ae36abd9e37573969686e44b7bd4467638	docs/post-correctness/evidence/raw/candidate-10.json:6:    "harness_ref": "4c127aba4e74fb6f8d486c4cb066586bb0d74846",	retained-as-pre-repair-provenance
4c127aba4e74fb6f8d486c4cb066586bb0d74846	ede255ae36abd9e37573969686e44b7bd4467638	docs/post-correctness/evidence/raw/candidate-10.json:17:    "command": "/home/camilo/flutterdec/.worker-tmp/valmetric5-rerun/run-output/bin/timing/candidate/flutterdec-bench run --matrix disclosed --warmups 0 --runs 1 --correctness off --product-ref 5ba4b6d30604606c04b5b742eaf9469adc1c729d --harness-ref 4c127aba4e74fb6f8d486c4cb066586bb0d74846 --patch-sha256 14413796ca8a89cc1328497b5c87629b1c55f945ec58e73eebb3838df0700460 --binary-sha256 ff696e5ed2857b17f30f7524aa57c246d959aa76eb9019d799820666f59532db --label post-correctness refresh candidate pair 10 second --out /home/camilo/flutterdec/.worker-tmp/valmetric5-rerun/run-output/raw/candidate-10.json --samples /home/camilo/flutterdec/.worker-tmp/valmetric5-rerun/run-output/raw/candidate-10.tsv",	retained-as-pre-repair-provenance
4c127aba4e74fb6f8d486c4cb066586bb0d74846	ede255ae36abd9e37573969686e44b7bd4467638	docs/post-correctness/evidence/raw/candidate-11.json:6:    "harness_ref": "4c127aba4e74fb6f8d486c4cb066586bb0d74846",	retained-as-pre-repair-provenance
4c127aba4e74fb6f8d486c4cb066586bb0d74846	ede255ae36abd9e37573969686e44b7bd4467638	docs/post-correctness/evidence/raw/candidate-11.json:17:    "command": "/home/camilo/flutterdec/.worker-tmp/valmetric5-rerun/run-output/bin/timing/candidate/flutterdec-bench run --matrix disclosed --warmups 0 --runs 1 --correctness off --product-ref 5ba4b6d30604606c04b5b742eaf9469adc1c729d --harness-ref 4c127aba4e74fb6f8d486c4cb066586bb0d74846 --patch-sha256 14413796ca8a89cc1328497b5c87629b1c55f945ec58e73eebb3838df0700460 --binary-sha256 ff696e5ed2857b17f30f7524aa57c246d959aa76eb9019d799820666f59532db --label post-correctness refresh candidate pair 11 first --out /home/camilo/flutterdec/.worker-tmp/valmetric5-rerun/run-output/raw/candidate-11.json --samples /home/camilo/flutterdec/.worker-tmp/valmetric5-rerun/run-output/raw/candidate-11.tsv",	retained-as-pre-repair-provenance
4c127aba4e74fb6f8d486c4cb066586bb0d74846	ede255ae36abd9e37573969686e44b7bd4467638	docs/post-correctness/evidence/raw/candidate-12.json:6:    "harness_ref": "4c127aba4e74fb6f8d486c4cb066586bb0d74846",	retained-as-pre-repair-provenance
4c127aba4e74fb6f8d486c4cb066586bb0d74846	ede255ae36abd9e37573969686e44b7bd4467638	docs/post-correctness/evidence/raw/candidate-12.json:17:    "command": "/home/camilo/flutterdec/.worker-tmp/valmetric5-rerun/run-output/bin/timing/candidate/flutterdec-bench run --matrix disclosed --warmups 0 --runs 1 --correctness off --product-ref 5ba4b6d30604606c04b5b742eaf9469adc1c729d --harness-ref 4c127aba4e74fb6f8d486c4cb066586bb0d74846 --patch-sha256 14413796ca8a89cc1328497b5c87629b1c55f945ec58e73eebb3838df0700460 --binary-sha256 ff696e5ed2857b17f30f7524aa57c246d959aa76eb9019d799820666f59532db --label post-correctness refresh candidate pair 12 second --out /home/camilo/flutterdec/.worker-tmp/valmetric5-rerun/run-output/raw/candidate-12.json --samples /home/camilo/flutterdec/.worker-tmp/valmetric5-rerun/run-output/raw/candidate-12.tsv",	retained-as-pre-repair-provenance
4c127aba4e74fb6f8d486c4cb066586bb0d74846	ede255ae36abd9e37573969686e44b7bd4467638	docs/post-correctness/evidence/raw/candidate-13.json:6:    "harness_ref": "4c127aba4e74fb6f8d486c4cb066586bb0d74846",	retained-as-pre-repair-provenance
4c127aba4e74fb6f8d486c4cb066586bb0d74846	ede255ae36abd9e37573969686e44b7bd4467638	docs/post-correctness/evidence/raw/candidate-13.json:17:    "command": "/home/camilo/flutterdec/.worker-tmp/valmetric5-rerun/run-output/bin/timing/candidate/flutterdec-bench run --matrix disclosed --warmups 0 --runs 1 --correctness off --product-ref 5ba4b6d30604606c04b5b742eaf9469adc1c729d --harness-ref 4c127aba4e74fb6f8d486c4cb066586bb0d74846 --patch-sha256 14413796ca8a89cc1328497b5c87629b1c55f945ec58e73eebb3838df0700460 --binary-sha256 ff696e5ed2857b17f30f7524aa57c246d959aa76eb9019d799820666f59532db --label post-correctness refresh candidate pair 13 first --out /home/camilo/flutterdec/.worker-tmp/valmetric5-rerun/run-output/raw/candidate-13.json --samples /home/camilo/flutterdec/.worker-tmp/valmetric5-rerun/run-output/raw/candidate-13.tsv",	retained-as-pre-repair-provenance
4c127aba4e74fb6f8d486c4cb066586bb0d74846	ede255ae36abd9e37573969686e44b7bd4467638	docs/post-correctness/evidence/raw/candidate-14.json:6:    "harness_ref": "4c127aba4e74fb6f8d486c4cb066586bb0d74846",	retained-as-pre-repair-provenance
4c127aba4e74fb6f8d486c4cb066586bb0d74846	ede255ae36abd9e37573969686e44b7bd4467638	docs/post-correctness/evidence/raw/candidate-14.json:17:    "command": "/home/camilo/flutterdec/.worker-tmp/valmetric5-rerun/run-output/bin/timing/candidate/flutterdec-bench run --matrix disclosed --warmups 0 --runs 1 --correctness off --product-ref 5ba4b6d30604606c04b5b742eaf9469adc1c729d --harness-ref 4c127aba4e74fb6f8d486c4cb066586bb0d74846 --patch-sha256 14413796ca8a89cc1328497b5c87629b1c55f945ec58e73eebb3838df0700460 --binary-sha256 ff696e5ed2857b17f30f7524aa57c246d959aa76eb9019d799820666f59532db --label post-correctness refresh candidate pair 14 second --out /home/camilo/flutterdec/.worker-tmp/valmetric5-rerun/run-output/raw/candidate-14.json --samples /home/camilo/flutterdec/.worker-tmp/valmetric5-rerun/run-output/raw/candidate-14.tsv",	retained-as-pre-repair-provenance
4c127aba4e74fb6f8d486c4cb066586bb0d74846	ede255ae36abd9e37573969686e44b7bd4467638	docs/post-correctness/evidence/raw/candidate-2.json:6:    "harness_ref": "4c127aba4e74fb6f8d486c4cb066586bb0d74846",	retained-as-pre-repair-provenance
4c127aba4e74fb6f8d486c4cb066586bb0d74846	ede255ae36abd9e37573969686e44b7bd4467638	docs/post-correctness/evidence/raw/candidate-2.json:17:    "command": "/home/camilo/flutterdec/.worker-tmp/valmetric5-rerun/run-output/bin/timing/candidate/flutterdec-bench run --matrix disclosed --warmups 0 --runs 1 --correctness off --product-ref 5ba4b6d30604606c04b5b742eaf9469adc1c729d --harness-ref 4c127aba4e74fb6f8d486c4cb066586bb0d74846 --patch-sha256 14413796ca8a89cc1328497b5c87629b1c55f945ec58e73eebb3838df0700460 --binary-sha256 ff696e5ed2857b17f30f7524aa57c246d959aa76eb9019d799820666f59532db --label post-correctness refresh candidate pair 2 second --out /home/camilo/flutterdec/.worker-tmp/valmetric5-rerun/run-output/raw/candidate-2.json --samples /home/camilo/flutterdec/.worker-tmp/valmetric5-rerun/run-output/raw/candidate-2.tsv",	retained-as-pre-repair-provenance
4c127aba4e74fb6f8d486c4cb066586bb0d74846	ede255ae36abd9e37573969686e44b7bd4467638	docs/post-correctness/evidence/raw/candidate-3.json:6:    "harness_ref": "4c127aba4e74fb6f8d486c4cb066586bb0d74846",	retained-as-pre-repair-provenance
